is_black_and_white,has_background,is_bright,has_sticker,has_tree,has_noise,label_score,object_score,max_score
1,0,1,1,0,1,0.0,0.8938550353050232,0.8938550353050232
1,0,1,0,1,1,0.0,0.0,0.0
1,1,1,1,0,1,0.0,0.8411374688148499,0.8411374688148499
1,0,0,1,0,0,0.0,0.0,0.0
1,0,0,0,0,1,0.0,0.916752278804779,0.916752278804779
1,1,0,0,1,0,0.0,0.8045312166213989,0.8045312166213989
0,0,0,0,1,0,0.8309099674224854,0.0,0.8309099674224854
1,1,1,1,0,0,0.0,0.9122751355171204,0.9122751355171204
0,1,1,1,0,1,0.0,0.0,0.0
1,0,1,0,0,1,0.0,0.648969829082489,0.648969829082489
0,0,1,1,0,0,0.0,0.0,0.0
0,1,0,1,1,1,0.0,0.6916977763175964,0.6916977763175964
1,0,1,1,1,1,0.0,0.8077160120010376,0.8077160120010376
0,0,1,1,1,1,0.0,0.0,0.0
0,1,1,1,1,0,0.0,0.0,0.0
0,0,1,0,0,1,0.0,0.797653317451477,0.797653317451477
0,1,0,0,1,1,0.0,0.0,0.0
1,0,1,1,1,0,0.0,0.0,0.0
0,1,0,0,0,1,0.0,0.9294158816337584,0.9294158816337584
1,0,1,0,1,0,0.0,0.0,0.0
1,1,1,0,1,1,0.0,0.6503546833992004,0.6503546833992004
0,1,0,0,0,0,0.8923934698104858,0.6312483549118042,0.8923934698104858
1,1,0,0,1,1,0.0,0.6991133689880371,0.6991133689880371
0,0,0,1,0,0,0.7305577993392944,0.0,0.7305577993392944
1,0,0,0,0,0,0.6539244055747986,0.848267138004303,0.848267138004303
1,0,1,1,0,0,0.0,0.0,0.0
1,1,0,1,1,1,0.0,0.8222888112068176,0.8222888112068176
1,1,1,0,0,0,0.0,0.9147505760192872,0.9147505760192872
0,0,0,0,0,1,0.0,0.9262942671775818,0.9262942671775818
1,1,0,1,0,0,0.0,0.9225544333457948,0.9225544333457948
0,1,1,0,0,0,0.0,0.7912931442260742,0.7912931442260742
0,0,0,1,1,0,0.7827289700508118,0.0,0.7827289700508118
0,0,1,1,1,0,0.0,0.0,0.0
1,0,0,1,0,1,0.0,0.8787586092948914,0.8787586092948914
1,0,0,0,1,1,0.0,0.8001909852027893,0.8001909852027893
0,1,1,1,1,1,0.0,0.0,0.0
1,1,1,0,0,1,0.0,0.8308030366897583,0.8308030366897583
1,1,0,1,0,1,0.0,0.8427139520645142,0.8427139520645142
0,1,1,0,1,1,0.0,0.0,0.0
0,0,1,0,1,1,0.0,0.558639645576477,0.558639645576477
1,1,1,0,1,0,0.0,0.822752833366394,0.822752833366394
0,0,1,0,0,0,0.854843020439148,0.8232197165489197,0.854843020439148
1,1,0,1,1,0,0.0,0.7561776638031006,0.7561776638031006
0,1,1,0,0,1,0.0,0.5799474716186523,0.5799474716186523
0,1,0,1,0,1,0.0,0.8010578751564026,0.8010578751564026
1,1,0,0,0,1,0.0,0.9387288093566896,0.9387288093566896
0,0,0,0,1,1,0.0,0.8196895122528076,0.8196895122528076
1,1,1,1,1,1,0.0,0.5732382535934448,0.5732382535934448
1,0,1,0,0,0,0.0,0.6726547479629517,0.6726547479629517
0,0,1,1,0,1,0.0,0.0,0.0
1,0,0,1,1,1,0.0,0.8789858818054199,0.8789858818054199
1,1,1,1,1,0,0.0,0.5699979066848755,0.5699979066848755
0,1,0,0,1,0,0.0,0.5064212679862976,0.5064212679862976
0,1,0,1,0,0,0.6608288288116455,0.8074194192886353,0.8074194192886353
0,1,1,1,0,0,0.0,0.7517852187156677,0.7517852187156677
0,1,0,1,1,0,0.7156533002853394,0.0,0.7156533002853394
0,0,0,0,0,0,0.9320831298828124,0.8526821136474609,0.9320831298828124
1,1,0,0,0,0,0.7246585488319397,0.9431281089782716,0.9431281089782716
0,0,0,1,1,1,0.0,0.8097754120826721,0.8097754120826721
1,0,0,0,1,0,0.6743387579917908,0.0,0.6743387579917908
0,1,1,0,1,0,0.0,0.7994632720947266,0.7994632720947266
0,0,1,0,1,0,0.0,0.0,0.0
0,0,0,1,0,1,0.0,0.5824306011199951,0.5824306011199951
1,0,0,1,1,0,0.7246585488319397,0.0,0.7246585488319397
